Token          	Lexeme
============================
Separator      	%%
Keyword        	int
Identifier     	i
Separator      	,
Identifier     	max
Separator      	,
Identifier     	sum
Separator      	;
Identifier     	sum
Operator       	=
Integer        	0
Separator      	;
Identifier     	i
Operator       	=
Integer        	10
Separator      	;
Keyword        	get
Separator      	(
Identifier     	max
Separator      	)
Separator      	;
Keyword        	while
Separator      	(
Identifier     	i
Operator       	<
Identifier     	max
Separator      	)
Separator      	{
Identifier     	sum
Operator       	=
Identifier     	sum
Operator       	-
Identifier     	i
Separator      	;
Identifier     	i
Operator       	=
Identifier     	i
Operator       	-
Integer        	1
Separator      	;
Separator      	}
Keyword        	put
Separator      	(
Identifier     	sum
Operator       	+
Identifier     	max
Separator      	)
Separator      	;
